response,contrast,estimate,SE,df,t.ratio,p.value
root_length_cm,T0 - T3,9.333333333333323,0.6905714220041903,10,13.515377317882537,7.38357530449818e-7
root_length_cm,T0 - T4,12.233333333333325,0.6905714220041903,10,17.714798127367477,5.990909546227385e-8
root_length_cm,T1 - T2,3.099999999999995,0.6905714220041904,10,4.489036037725269,0.007992038158677994
root_length_cm,T1 - T3,7.133333333333329,0.6905714220041904,10,10.3296098072388,9.134796105758625e-6
root_length_cm,T1 - T4,10.033333333333331,0.6905714220041904,10,14.529030616723738,3.748638512934832e-7
root_length_cm,T2 - T3,4.033333333333334,0.6905714220041903,10,5.840573769513532,0.0011929565460782054
root_length_cm,T2 - T4,6.933333333333336,0.6905714220041903,10,10.03999457899847,1.1845877741056832e-5
root_length_cm,T3 - T4,2.900000000000002,0.6905714220041904,10,4.199420809484939,0.01233791897722658
shoot_fresh_weight_g,T0 - T1,1.6100000000000032,0.8707978461668868,10,1.848879171080827,0.4000074786425989
shoot_fresh_weight_g,T0 - T2,4.616666666666668,0.8707978461668863,10,5.3016514533063,0.002480881415846903
shoot_fresh_weight_g,T0 - T3,7.28666666666667,0.8707978461668864,10,8.367805109694997,6.0449307030974175e-5
shoot_fresh_weight_g,T0 - T4,10.510000000000003,0.8707978461668864,10,12.069391359043149,2.150074440043781e-6
shoot_fresh_weight_g,T1 - T2,3.006666666666665,0.8707978461668866,10,3.4527722822254705,0.038896984101387866
shoot_fresh_weight_g,T1 - T3,5.676666666666667,0.8707978461668865,10,6.518925938614168,4.991838129851933e-4
shoot_fresh_weight_g,T1 - T4,8.9,0.8707978461668866,10,10.220512187962319,1.0067260266310996e-5
shoot_fresh_weight_g,T2 - T3,2.6700000000000017,0.8707978461668864,10,3.066153656388698,0.07082983926233455
shoot_fresh_weight_g,T2 - T4,5.893333333333335,0.8707978461668865,10,6.767739905736849,3.676505620536785e-4
shoot_fresh_weight_g,T3 - T4,3.2233333333333336,0.8707978461668865,10,3.7015862493481513,0.026446717965027178
shoot_dry_weight_g,T0 - T1,0.37999999999999867,0.18245242911205378,10,2.0827346714393173,0.29784160163603346
shoot_dry_weight_g,T0 - T2,0.5699999999999984,0.18245242911205367,10,3.1241020071589802,0.0647661387263444
shoot_dry_weight_g,T0 - T3,1.5133333333333319,0.18245242911205367,10,8.294399480995201,6.529677916788934e-5
shoot_dry_weight_g,T0 - T4,1.8333333333333321,0.1824524291120537,10,10.048281309575687,1.1757129928513521e-5
shoot_dry_weight_g,T1 - T2,0.18999999999999972,0.18245242911205375,10,1.041367335719661,0.8309685124213744
shoot_dry_weight_g,T1 - T3,1.1333333333333333,0.18245242911205373,10,6.211664809555882,7.356254434660592e-4
shoot_dry_weight_g,T1 - T4,1.4533333333333336,0.18245242911205373,10,7.965546638136368,9.28397766635225e-5
shoot_dry_weight_g,T2 - T3,0.9433333333333335,0.1824524291120537,10,5.1702974738362215,0.0029816021156373607
shoot_dry_weight_g,T2 - T4,1.2633333333333336,0.18245242911205373,10,6.9241793024167055,3.044449116402781e-4
shoot_dry_weight_g,T3 - T4,0.3200000000000003,0.1824524291120537,10,1.7538818285804862,0.4470926647151121
root_fresh_weight_g,T0 - T1,0.33333333333333137,0.24143091949642378,10,1.3806571835479793,0.6520621121803883
